Rank,Release,Theaters,Total Gross,Release Date,Distributor
158,The Mustang,527,5043620,3/15/2020,Focus Features
159,The Sun Is also a Star,2073,4950029,5/17/2020,Warner Bros.
160,Bring the Soul: The Movie,873,4809800,8/7/2020,Trafalgar Releasing
161,Pavarotti,288,4600249,6/7/2020,CBS Films
162,Tolkien,1501,4535154,5/10/2020,Fox Searchlight Pictures
163,The Last Black Man in San Francisco,207,4515719,6/7/2020,A24
164,War,305,4654000,10/2/2020,Yash Raj Films
165,Cold War2018 Re-release,270,4580048,12/21/2020,Amazon Studios
166,Menteur,89,4697364,7/12/2020,Entertainment One
167,Brian Banks,1240,4376819,8/9/2020,Bleecker Street Media
168,The Biggest Little Farm,285,4366949,5/10/2020,Neon
169,Dr. Seuss' the Grinch,4141,270620950,11/9/2020,Universal Pictures
170,Amazing Grace,263,4450456,12/7/2020,Neon
171,Linda Ronstadt: The Sound of My Voice,247,4252657,9/6/2020,Greenwich Entertainment
172,Uri: The Surgical Strike,132,4186168,1/11/2020,-
173,Replicas,2329,4046429,1/11/2020,Entertainment Studios Motion Pictures
174,Pain and Glory,266,4567338,10/4/2020,Sony Pictures Classics
175,Ne Zha,135,3695533,8/29/2020,Well Go USA Entertainment
176,Mission Mangal,263,3659413,8/15/2020,FIP
177,The Oscar Nominated Short Films 2019: Documentary,415,3531094,2/8/2020,Shorts International
178,BTS World Tour: Love Yourself in Seoul,997,3509917,1/26/2020,Fathom Events
179,The Beach Bum,1100,3502600,3/29/2020,Neon
180,Echo in the Canyon,147,3355324,5/24/2020,Greenwich Entertainment
181,Creed II,3752,115715889,11/21/2020,Metro-Goldwyn-Mayer (MGM)
182,Jay and Silent Bob Reboot,788,4589490,10/15/2020,Saban Films
183,Maiden,180,3168978,6/28/2020,Sony Pictures Classics
184,Simmba,301,5102129,12/28/2020,Reliance Big Pictures
185,Bharat,311,2971549,6/5/2020,Viva Pictures
186,Honey Boy,460,3012615,11/8/2020,Amazon Studios
187,Friends 25th: The One With The Anniversary,1586,2884827,9/23/2020,Fathom Events
188,Saaho,381,2872057,8/29/2020,Yash Raj Films
189,Fantastic Beasts: The Crimes of Grindelwald,4163,159555901,11/16/2020,Warner Bros.
190,Kalank,320,2729336,4/17/2020,FIP
191,Tod@s Caen,371,2670925,8/30/2020,Pantelion Films
192,Everybody Knows,283,2660165,2/8/2020,Focus Features
193,Instant Family,3426,67363237,11/16/2020,Paramount Pictures
194,The Art of Self-Defense,550,2410914,7/12/2020,Bleecker Street Media
195,Arctic2019 Re-release,268,2410795,2/1/2020,Bleecker Street Media
196,Welcome to Marwen,1911,10763520,12/21/2020,Universal Pictures
197,"My People, My Country",83,2356683,10/1/2020,CMC Pictures
198,Promare,701,2313596,9/17/2020,GKIDS
199,Super 30,317,2269878,7/12/2020,Reliance Big Pictures
200,Faustina: Love and Mercy,810,2243180,10/28/2020,Fathom Events
201,Gone with the Wind2019 Re-release,717,2176120,2/28/2020,Fathom Events
202,3 from Hell,667,2172949,9/16/2020,Saban Films
203,Total Dhamaal,209,2167632,2/22/2020,FIP
204,Housefull 4,315,2109160,10/25/2020,FIP
205,Shoplifters,144,3313513,11/23/2020,Magnolia Pictures
206,The Wizard of Oz2019 Re-release,681,2076020,1/27/2020,Fathom Events
207,Luce,235,2010613,8/2/2020,Neon
208,Chhichhore,195,2004400,9/6/2020,FIP
209,Official Secrets,485,1988546,8/30/2020,IFC Films
210,Better Days,88,1921657,11/8/2020,Well Go USA Entertainment
211,Badla,115,1861000,3/8/2020,Reliance Big Pictures
212,The White Crow,365,1828784,4/26/2020,Sony Pictures Classics
213,Ben Is Back,598,3703184,12/7/2020,Roadside Attractions
214,Pandas,35,7574012,4/6/2020,Warner Bros.
215,The Other Side of Heaven 2: Fire of Faith,205,1807216,6/28/2020,ArtAffects Entertainment
216,Ip Man 4: The Finale,125,3956031,12/25/2020,Well Go USA Entertainment
217,Wild Rose,195,1635117,6/21/2020,Neon
218,The Aftermath,344,1618497,3/15/2020,Fox Searchlight Pictures
219,Made for More,703,2999134,8/2/2020,Fathom Events
220,Red Joan,195,1579730,4/19/2020,IFC Films
221,After the Wedding,428,1574258,8/9/2020,Sony Pictures Classics
222,Extreme Job,26,1565885,1/25/2020,CJ Entertainment
223,Waves,570,1658790,11/15/2020,A24
224,Qué León,86,2607916,11/29/2020,Spanglish Movies
225,Capernaum,136,1661096,12/14/2020,Sony Pictures Classics
226,The Kid,268,1508593,3/8/2020,Lionsgate
227,Kinky Boots the Musical,492,900451,6/25/2020,Fathom Events
228,Destroyer,235,1533324,12/25/2020,Annapurna Pictures
229,The Wife,541,9601092,8/17/2020,Sony Pictures Classics
230,El Chicano,605,1400603,5/3/2020,-
231,Fantastic Fungi,37,1788322,9/20/2020,Area 23a
232,1917,3987,159227644,12/25/2020,Universal Pictures
233,Spirited Away2019 Re-release,768,1322927,10/27/2020,Fathom Events
234,Never Look Away,122,1304042,11/30/2020,Sony Pictures Classics
235,Pilgrim's Progress,758,1294596,4/18/2020,Fathom Events
236,Can You Ever Forgive Me?,555,8803865,10/19/2020,Fox Searchlight Pictures
237,Asterix: The Secret of the Magic Potion,76,1271953,2/15/2020,Entertainment One
238,Metallica & San Francisco Symphony - S&M2,655,1252385,10/9/2020,Trafalgar Releasing
239,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,490,1226552,10/27/2020,Fathom Events
240,High Life,146,1225852,4/5/2020,A24
241,All Is True,328,1200481,5/10/2020,Sony Pictures Classics
242,Kingdom Men Rising,705,1188936,4/29/2020,Fathom Events
243,Los Domirriqueños 2,82,1187280,3/14/2020,Spanglish Movies
244,Ek Ladki Ko Dekha Toh Aisa Laga,193,1182636,2/1/2020,FIP
245,No Safe Spaces,200,1291514,10/25/2020,Atlas Distribution Company
246,Nothing to Lose 2,105,1150551,9/27/2020,-
247,Western Stars,553,1581681,10/25/2020,Warner Bros.
