Rank,Release,Theaters,Total Gross,Release Date,Distributor
849,Kaili Blues,4,32164,5/20/2020,Grasshopper Film
850,What You Gonna Do When the World's on Fire?,1,4672,8/16/2020,-
851,Slaughterhouse Rulez,10,4665,5/17/2020,Sony Pictures Entertainment (SPE)
852,Sicilian Ghost Story,3,15285,11/30/2020,Strand Releasing
853,At War,1,4605,7/19/2020,Cinema Libre Studio
854,I'm Leaving Now,1,4488,9/6/2020,The Cinema Guild
855,SGT. Will Gardner,12,4405,1/11/2020,Cinedigm Entertainment Group
856,Tito and the Birds,6,4332,1/25/2020,Shout! Factory
857,The Fate of Lee Khan,3,4295,4/5/2020,Film Movement
858,State Like Sleep,10,4282,1/4/2020,The Orchard
859,The Gliksmans,3,5166,9/27/2020,Indican Pictures
860,La Flor,1,4032,8/9/2020,Grasshopper Film
861,Mother of a Day,1,3919,5/4/2020,Sumbadhat Productions
862,Crown Vic,1,3868,11/8/2020,Screen Media Films
863,Wallflower,7,3801,10/4/2020,-
864,The Wandering Soap Opera,2,3624,5/17/2020,The Cinema Guild
865,Rottentail,3,3383,4/12/2020,Ammo Content
866,Another Day of Life,2,3190,9/13/2020,GKIDS
867,Bauhaus Spirit: 100 Years of Bauhaus,2,17122,2/10/2020,Icarus Films
868,A Cool Fish,36,551876,11/16/2020,China Lion Film Distribution
869,Chasing Portraits,1,3076,4/26/2020,First Run
870,Filmworker,17,102609,5/11/2020,Kino Lorber
871,100 Acres of Hell,1,5152,10/11/2020,Indican Pictures
872,The Kindness of Strangers,3,2705,12/6/2020,-
873,Back to the Fatherland,1,2697,6/14/2020,First Run
874,L'héritage de la chouette,1,12316,11/9/2020,Icarus Films
875,"No Date, No Signature",3,36444,8/1/2020,Distrib Films
876,Joan the Maid 1: The Battles,1,2562,8/2/2020,Cohen Media Group
877,Chef Flynn,10,68407,11/9/2020,Kino Lorber
878,TINY: The Life of Erin Blackwell,1,2465,7/19/2020,Janus Films
879,I Lost Albert2019 Re-release,1,2354,10/4/2020,Distrib Films
880,Tea With the Dames,71,889343,9/21/2020,IFC Films
881,Iceman,7,2138,3/15/2020,Film Movement
882,Detour,1,16172,11/30/2020,Janus Films
883,Jihadists,1,2104,1/25/2020,Cinema Libre Studio
884,Divide and Conquer,16,38510,12/7/2020,Magnolia Pictures
885,A German Youth,1,2343,10/11/2020,Big World Pictures
886,A Fish in the Bathtub2019 re-release,3,1826,11/8/2020,Cohen Media Group
887,Division 19,10,1699,4/5/2020,-
888,Little Q,1,1652,12/6/2020,Well Go USA Entertainment
889,Game Day,4,1624,10/4/2020,Ammo Content
890,For Those Who Don't Read Me,6,36506,11/23/2020,Entertainment One
891,American Playhouse: The Killing Floor,1,1583,11/22/2020,Film Movement
892,Indivisible,830,3511417,10/26/2020,Pure Flix Entertainment
893,Serendipity,2,2298,10/18/2020,Cohen Media Group
894,Owaranai hito: Miyazaki Hayao,377,187320,12/13/2020,GKIDS
895,The Hours and Times,1,1273,3/1/2020,Oscilloscope
896,Chinese Portrait,2,4140,12/13/2020,The Cinema Guild
897,Narcissister Organ Player,4,15334,11/7/2020,Film Movement
898,The Untold Story,1,790,1/18/2020,Ammo Content
899,Senso,2,27723,10/26/2020,Rialto Pictures
900,Swimming with Men,31,24708,12/7/2020,IFC Films
901,Sgt. Stubby: An American Hero,1633,4015935,4/13/2020,-
902,I Am Not A Witch,8,50868,9/7/2020,Film Movement
903,A Breath Away,12,77987,8/10/2020,Entertainment One
904,In Safe Hands,1,1737,7/26/2020,Distrib Films
905,Henchmen,3,1469,12/7/2020,Entertainment One
906,1945,19,1006193,11/1/2020,Menemsha Films
907,Tall Tales from the Magical Garden of Antoon Krings2018 Re-release,20,220,1/11/2020,Viva Pictures
908,Over the Limit,2,3243,10/12/2020,Film Movement
909,Postcards from London,1,5312,11/9/2020,Strand Releasing
